id,host_location,host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,street,neighborhood,city,suburb,state,zipcode,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,last_scraped_delta,host_since_delta,predicted_price
28964846,"Brunswick, Victoria, Australia",within a day,81%,f,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",t,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056.0,"Brunswick, Australia",AU,Australia,-37.75803627,144.9712774,f,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private living room""}",250.0,60.0,1,0,3,1125,yesterday,t,20,35,35,269,12/7/2018,0,Unknown,Unknown,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,2,1.02,2084,3499,146.33656388211153
19648696,"Werribee, Victoria, Australia",within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Maidstone, VIC, Australia",Footscray,Maribyrnong,Maidstone,VIC,3012.0,"Maidstone, Australia",AU,Australia,-37.78229235,144.8812233,t,House,Entire home/apt,10,1.0,1.0,8.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Changing table"",""High chair"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",600.0,140.0,6,15,3,90,today,t,12,36,64,154,12/7/2018,50,7/10/2017,12/3/2018,90.0,10.0,9.0,10.0,10.0,9.0,10.0,f,t,moderate,f,f,1,2.91,2084,3360,194.7726252030454
11346949,"Melbourne, Victoria, Australia",Unknown,Unknown,f,"['email', 'phone', 'facebook', 'jumio', 'government_id']",t,t,"Caulfield North, VIC, Australia",Caulfield,Glen Eira,Caulfield North,VIC,3161.0,"Caulfield North, Australia",AU,Australia,-37.87265362,145.0229526,f,House,Entire home/apt,5,1.0,1.0,4.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Iron,""Laptop friendly workspace""}",250.0,59.0,1,0,1,1125,31 months ago,t,0,0,0,0,12/7/2018,0,Unknown,Unknown,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,1.02,2084,3106,155.76626219718585
29476373,"Ferny Creek, Victoria, Australia",within an hour,100%,f,['phone'],t,f,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000.0,"Melbourne, Australia",AU,Australia,-37.82168661,144.9555122,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Air conditioning"",""Paid parking off premises"",""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad,""Hot water""}",250.0,59.0,1,10,1,3,2 days ago,t,9,13,31,31,12/7/2018,11,10/28/2018,12/2/2018,91.0,9.0,9.0,9.0,9.0,10.0,9.0,f,f,moderate,f,f,1,8.05,2084,2989,128.60550098043137
21627660,China,within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Melbourne, VIC, Australia",Prahran/Windsor,Port Phillip,Melbourne,VIC,3004.0,"Melbourne, Australia",AU,Australia,-37.85170299,144.9786128,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Pool,Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""BBQ grill"",Other}",0.0,10.0,1,0,1,30,6 weeks ago,t,14,37,37,37,12/7/2018,16,12/24/2017,11/10/2018,85.0,9.0,9.0,9.0,9.0,10.0,9.0,f,t,strict_14_with_grace_period,f,f,3,1.38,2084,2881,79.88565218147987
30217070,"Victoria, Australia",within an hour,100%,f,"['email', 'phone', 'google', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Point Cook, VIC, Australia",Unknown,Wyndham,Point Cook,VIC,3030.0,"Point Cook, Australia",AU,Australia,-37.90986217,144.7404315,f,House,Entire home/apt,8,2.0,4.0,4.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,Washer,Essentials,Shampoo,""Hair dryer"",Iron,""Hot water""}",250.0,80.0,1,0,3,1125,2 weeks ago,t,8,25,55,330,12/7/2018,1,12/2/2018,12/2/2018,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,flexible,f,f,3,1.0,2084,2919,209.2170542831313
15821394,"Victoria, Australia",Unknown,Unknown,f,"['email', 'phone', 'reviews']",t,f,"Beaumaris, VIC, Australia",Unknown,Bayside,Beaumaris,VIC,3193.0,"Beaumaris, Australia",AU,Australia,-37.97427888,145.0408304,t,House,Entire home/apt,6,1.0,1.0,4.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",1000.0,100.0,6,100,7,1125,12 months ago,t,23,53,83,358,12/7/2018,1,1/1/2017,1/1/2017,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,f,f,1,0.04,2084,3359,227.34013258385198
28267377,"Melbourne, Victoria, Australia",within an hour,95%,f,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000.0,"Melbourne, Australia",AU,Australia,-37.80794316,144.9630578,f,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance"",""Hot water"",""Host greets you""}",250.0,95.0,4,25,1,1125,4 days ago,t,22,43,70,145,12/7/2018,7,9/22/2018,11/24/2018,86.0,9.0,8.0,9.0,9.0,10.0,9.0,f,t,flexible,f,f,11,2.73,2084,2302,168.94498325390103
18737166,"Saint Kilda, Victoria, Australia",Unknown,Unknown,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,"Saint Kilda, VIC, Australia",St Kilda,Port Phillip,Saint Kilda,VIC,3182.0,"Saint Kilda, Australia",AU,Australia,-37.86779533,144.9888572,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Host greets you"",""Hot water kettle""}",0.0,15.0,1,10,1,15,3 months ago,t,0,0,0,0,12/7/2018,35,6/18/2017,9/23/2018,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,t,1,1.95,2084,4418,80.13612104802137
30388891,"Melbourne, Victoria, Australia",within an hour,100%,f,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,f,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053.0,"Carlton, Australia",AU,Australia,-37.79742096,144.9660791,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Wifi,Kitchen,Heating,Washer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Host greets you""}",250.0,30.0,1,0,2,31,yesterday,t,17,27,30,30,12/7/2018,0,Unknown,Unknown,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,strict_14_with_grace_period,f,f,2,1.02,2084,2375,89.2531578664137
